token,last_active,unrealized,realized_profit,total_profit,balance,usd,position_pct,holding_duration,bought_avg,sold_avg,txs
BEAVO11h 11h,BEAVO11h 11h,Sell All,Sell All,+$25.49+0.6%,$00,$00,0%,27m,$4.21K$0.0₄8712,$4.23K$0.0₄8764,21/18
PUMPFUND1d 11h,PUMPFUND1d 11h,Sell All,Sell All,+$392.65+28.1%,$00,$00,0%,16h,$1.4K$0.0001,$1.05K$0.0001,9/4
LUTHERTECH11h 11h,LUTHERTECH11h 11h,Sell All,Sell All,+$9.57+0.4%,$00,$00,0%,51s,$2.24K$0.0₄9121,$2.01K$0.0₄9104,12/13
DOW1d 11h,DOW1d 11h,$00%,$00%,$00%,$00,$00,0%,16h,$320.28$0.0₄7804,$0$0,1/0
Litcoin1d 11h,Litcoin1d 11h,Sell All,Sell All,+$249.36+20.4%,$00,$00,0%,16h,$1.22K$0.0001,$869.75$0.0001,9/2
AUDGE12h 12h,AUDGE12h 12h,Sell All,Sell All,+$318.8K+4.4K%,$00,$00,0%,19m,$7.11K$0.0₄1896,$325.9K$0.0008,1/13
Marshmalow1d 1d,Marshmalow1d 1d,Sell All,Sell All,+$276.65+31.2%,$00,$00,0%,48m,$887.25$0.0001,$620.95$0.0001,6/1
Earth1d 1d,Earth1d 1d,Sell All,Sell All,+$87.14+3.8%,$00,$00,0%,19m,$2.3K$0.0₄9585,$1.95K$0.0₄9668,15/8
cbBTC1d 1d,cbBTC1d 1d,$00%,$00%,$00%,$00,$00,0%,1h,$345.52$0.0₄8377,$0$0,3/0
ARCHER1d 1d,ARCHER1d 1d,$00%,$00%,$00%,$00,$00,0%,1h,$345.84$0.0001,$0$0,2/0
MEOWS1d 1d,MEOWS1d 1d,Sell All,Sell All,+$17.8+0.9%,$00,$00,0%,17m,$1.91K$0.0001,$1.86K$0.0001,13/12
foobi1d 1d,foobi1d 1d,Sell All,Sell All,+$231.98+50.2%,$00,$00,0%,48m,$462.08$0.0₄9333,$577.51$0.0001,4/1
ARCHER1d 1d,ARCHER1d 1d,Sell All,Sell All,+$68.28+5.1%,$00,$00,0%,15m,$1.34K$0.0001,$985.34$0.0001,9/3
DOW1d 1d,DOW1d 1d,Sell All,Sell All,+$3.01+1%,$00,$00,0%,11s,$306.75$0.0₄6015,$309.61$0.0₄6074,1/2
DDOW1d 1d,DDOW1d 1d,Sell All,Sell All,+$63.42+9.6%,$00,$00,0%,2m,$658.8$0.0₄6936,$718.59$0.0₄7604,3/6
WLM1d 1d,WLM1d 1d,Sell All,Sell All,+$107.19+4.7%,$00,$00,0%,1h,$2.29K$0.0001,$1.98K$0.0001,16/8
EGG1d 1d,EGG1d 1d,Sell All,Sell All,+$4.68+0.3%,$00,$00,0%,8m,$1.51K$0.0001,$1.52K$0.0001,9/5
