token,last_active,unrealized,realized_profit,total_profit,balance,usd,position_pct,holding_duration,bought_avg,sold_avg,txs
"insane
9h

9h","insane
9h

9h",Sell All,Sell All,"+$4.45

+1.4%","$0
0","$0
0",0%,12s,"$315.21

$0.0₄605","$319.5

$0.0₄6135","1
/
3"
"Marsh
10h

9h","Marsh
10h

9h",Sell All,Sell All,"+$45.22

+3.3%","$0
0","$0
0",0%,42m,"$1.36K

$0.0₄8408","$1.09K

$0.0₄8567","6
/
5"
"MEOWS
9h

9h","MEOWS
9h

9h",Sell All,Sell All,"+$24.31

+0.6%","$0
0","$0
0",0%,6m,"$4.25K

$0.0₄8898","$4.11K

$0.0₄8936","22
/
19"
"ANON
10h

10h","ANON
10h

10h","$0

0%","$0

0%","$0

0%","$0
0","$0
0",0%,2m,"$344.84

$0.0₄6919","$0

$0","2
/
0"
"cbBTC
11h

10h","cbBTC
11h

10h",Sell All,Sell All,"+$47.52

+2.4%","$0
0","$0
0",0%,8m,"$2.01K

$0.0₄8518","$2.05K

$0.0₄8719","10
/
14"
"Xing
10h

10h","Xing
10h

10h",Sell All,Sell All,"+$100.71

+5.4%","$0
0","$0
0",0%,22m,"$1.86K

$0.0₄8668","$1.52K

$0.0₄9013","10
/
4"
"BEAVO
11h

11h","BEAVO
11h

11h",Sell All,Sell All,"+$25.49

+0.6%","$0
0","$0
0",0%,27m,"$4.21K

$0.0₄8712","$4.23K

$0.0₄8764","21
/
18"
"PUMPFUND
1d

11h","PUMPFUND
1d

11h",Sell All,Sell All,"+$392.65

+28.1%","$0
0","$0
0",0%,16h,"$1.4K

$0.0001","$1.05K

$0.0001","9
/
4"
"LUTHERTECH
11h

11h","LUTHERTECH
11h

11h",Sell All,Sell All,"+$9.57

+0.4%","$0
0","$0
0",0%,51s,"$2.24K

$0.0₄9121","$2.01K

$0.0₄9104","12
/
13"
"DOW
1d

11h","DOW
1d

11h","$0

0%","$0

0%","$0

0%","$0
0","$0
0",0%,16h,"$320.28

$0.0₄7804","$0

$0","1
/
0"
"Litcoin
1d

11h","Litcoin
1d

11h",Sell All,Sell All,"+$249.36

+20.4%","$0
0","$0
0",0%,16h,"$1.22K

$0.0001","$869.75

$0.0001","9
/
2"
"AUDGE
12h

12h","AUDGE
12h

12h",Sell All,Sell All,"+$318.8K

+4.4K%","$0
0","$0
0",0%,19m,"$7.11K

$0.0₄1896","$325.9K

$0.0008","1
/
13"
"Marshmalow
1d

1d","Marshmalow
1d

1d",Sell All,Sell All,"+$276.65

+31.2%","$0
0","$0
0",0%,48m,"$887.25

$0.0001","$620.95

$0.0001","6
/
1"
"Earth
1d

1d","Earth
1d

1d",Sell All,Sell All,"+$87.14

+3.8%","$0
0","$0
0",0%,19m,"$2.3K

$0.0₄9585","$1.95K

$0.0₄9668","15
/
8"
"cbBTC
1d

1d","cbBTC
1d

1d","$0

0%","$0

0%","$0

0%","$0
0","$0
0",0%,1h,"$345.52

$0.0₄8377","$0

$0","3
/
0"
"ARCHER
1d

1d","ARCHER
1d

1d","$0

0%","$0

0%","$0

0%","$0
0","$0
0",0%,1h,"$345.84

$0.0001","$0

$0","2
/
0"
"MEOWS
1d

1d","MEOWS
1d

1d",Sell All,Sell All,"+$17.8

+0.9%","$0
0","$0
0",0%,17m,"$1.91K

$0.0001","$1.86K

$0.0001","13
/
12"
"foobi
1d

1d","foobi
1d

1d",Sell All,Sell All,"+$231.98

+50.2%","$0
0","$0
0",0%,48m,"$462.08

$0.0₄9333","$577.51

$0.0001","4
/
1"
"ARCHER
1d

1d","ARCHER
1d

1d",Sell All,Sell All,"+$68.28

+5.1%","$0
0","$0
0",0%,15m,"$1.34K

$0.0001","$985.34

$0.0001","9
/
3"
"DOW
1d

1d","DOW
1d

1d",Sell All,Sell All,"+$3.01

+1%","$0
0","$0
0",0%,11s,"$306.75

$0.0₄6015","$309.61

$0.0₄6074","1
/
2"
"D
DOW
1d

1d","D
DOW
1d

1d",Sell All,Sell All,"+$63.42

+9.6%","$0
0","$0
0",0%,2m,"$658.8

$0.0₄6936","$718.59

$0.0₄7604","3
/
6"
"WLM
1d

1d","WLM
1d

1d",Sell All,Sell All,"+$107.19

+4.7%","$0
0","$0
0",0%,1h,"$2.29K

$0.0001","$1.98K

$0.0001","16
/
8"
"EGG
1d

1d","EGG
1d

1d",Sell All,Sell All,"+$4.68

+0.3%","$0
0","$0
0",0%,8m,"$1.51K

$0.0001","$1.52K

$0.0001","9
/
5"
